,term,Course_Name,enrolled,total_Seats
1445,Fall 2014,CSC 898 [01 ],0,0
1446,Fall 2014,CSC 899 [03 ],0,0
1447,Fall 2014,CSC 899 [03 ],0,0
1448,Fall 2014,CSC 899 [03 ],0,0
1449,Fall 2014,CSC 899 [03 ],0,0
1450,Spring 2015,CSC 210 [01 ],49,40
1451,Spring 2015,CSC 210 [02 ],43,40
1452,Spring 2015,CSC 210 [03 ],47,40
1453,Spring 2015,CSC 210 [04 ],76,70
1454,Spring 2015,CSC 211 [01 ],42,40
1455,Spring 2015,CSC 220 [01 ],63,75
1456,Spring 2015,CSC 220 [02 ],36,40
1457,Spring 2015,CSC 220 [03 ],42,75
1458,Spring 2015,CSC 230 [01 ],64,60
1459,Spring 2015,CSC 230 [02 ],59,60
1460,Spring 2015,CSC 256 [01 ],37,70
1461,Spring 2015,CSC 256 [02 ],42,40
1462,Spring 2015,CSC 300GW [01 ],25,25
1463,Spring 2015,CSC 300GW [02 ],25,25
1464,Spring 2015,CSC 300GW [03 ],25,25
1465,Spring 2015,CSC 300GW [04 ],25,25
1466,Spring 2015,CSC 309 [01 ],37,40
1467,Spring 2015,CSC 340 [01 ],61,60
1468,Spring 2015,CSC 340 [02 ],64,60
1469,Spring 2015,CSC 340 [03 ],27,60
1470,Spring 2015,CSC 412 [01 ],41,40
1471,Spring 2015,CSC 412 [02 ],39,40
1472,Spring 2015,CSC 412 [03 ],43,40
1473,Spring 2015,CSC 413 [01 ],39,45
1474,Spring 2015,CSC 413 [02 ],12,70
1475,Spring 2015,CSC 413 [03 ],70,70
1476,Spring 2015,CSC 415 [01 ],64,70
1477,Spring 2015,CSC 415 [02 ],24,40
1478,Spring 2015,CSC 510 [01 ],62,65
1479,Spring 2015,CSC 510 [03 ],18,40
1480,Spring 2015,CSC 520 [01 ],66,65
1481,Spring 2015,CSC 600 [01 ],62,60
1482,Spring 2015,CSC 621 [01 ],27,25
1483,Spring 2015,CSC 631 [01 ],24,25
1484,Spring 2015,CSC 648 [01 ],54,45
1485,Spring 2015,CSC 656 [01 ],35,70
1486,Spring 2015,CSC 668 [01 ],16,25
1487,Spring 2015,CSC 690 [01 ],25,20
1488,Spring 2015,CSC 694 [01 ],0,15
1489,Spring 2015,CSC 699 [01 ],0,15
1490,Spring 2015,CSC 720 [01 ],17,20
1491,Spring 2015,CSC 810 [01 ],20,20
