num_people_enrolled,total_class_size,class_number,term,professor
33,36,Principles & Practice: Comp Sci                                ,FALL 208,"['Keller, Robert M. ']"
12,17,Data Structures/Prgm Development                                ,FALL 208,"[""O'Neill, Melissa E. "", 'Stone, Christopher ']"
14,17,Data Structures/Prgm Development                                ,FALL 208,"['Stone, Christopher ', ""O'Neill, Melissa E. ""]"
23,40,Computability & Logic                                ,FALL 208,"['Bull, Everett L., Jr. ']"
22,20,Computer Systems                                ,FALL 208,"['Kuenning, Geoffrey H. ', 'Kuenning, Geoffrey H. ']"
16,20,Software Development                                ,FALL 208,"['Sweedyk, Elizabeth Ann ']"
10,14,Computer Networks                                ,FALL 208,"['Erlinger, Michael A. ', 'Erlinger, Michael A. ']"
11,40,Programming Languages                                ,FALL 208,"['Bruce, Kim Barry ']"
7,12,Operating Systems                                ,FALL 208,"[""O'Neill, Melissa E. ""]"
15,7,Algorithms                                ,FALL 208,"['Pippenger, Nicholas J. ']"
10,11,Complexity Theory                                ,FALL 208,"['Libeskind-Hadas, Ran ']"
21,36,Artificial Intelligence                                ,FALL 208,"['Sood, Sara Owsley ']"
5,14,Neural Networks                                ,FALL 208,"['Keller, Robert M. ']"
12,20,Computer Vision                                ,FALL 208,"['Dodds, Zachary B. ']"
3,18,Computer Graphics                                ,FALL 208,"['Sweedyk, Elizabeth Ann ']"
26,66,Computer Science Clinic I                                ,FALL 208,"['Keller, Robert M. ']"
0,99,Computer Science Research I                                ,FALL 208,['Staff ']
1,10,Computer Science Research I                                ,FALL 208,"['Alvarado, Christine J. ']"
1,15,Computer Science Research I                                ,FALL 208,"['Sweedyk, Elizabeth Ann ']"
0,10,Computer Science Research I                                ,FALL 208,"['Libeskind-Hadas, Ran ']"
20,24,Programming Practicum                                ,FALL 208,"['Dodds, Zachary B. ']"
6,99,Computer Science Senior Seminar                                ,FALL 208,"['Sood, Sara Owsley ']"
0,35,Computer Science Project I                                ,FALL 208,"['Dodds, Zachary B. ']"
0,35,Computer Science Project I                                ,FALL 208,"['Dodds, Zachary B. ']"
1,35,Computer Science Project I                                ,FALL 208,"['Dodds, Zachary B. ']"
0,10,Computer Science Project I - Sp Project: Computer Games      ,FALL 208,"['Alvarado, Christine J. ']"
1,35,Computer Science Project I                                ,FALL 208,"['Stone, Christopher ']"
0,10,Sr Research/Thesis Computer Sci                                ,FALL 208,"['Bruce, Kim Barry ']"
0,99,Senior Project                                ,FALL 208,"['Bruce, Kim Barry ']"
0,15,Senior Project                                ,FALL 208,"['Bruce, Kim Barry ']"
26,99,Computer Science Colloquium                                ,FALL 208,"['Sweedyk, Elizabeth Ann ']"
30,99,Computer Science Colloquium                                ,FALL 208,"['Sweedyk, Elizabeth Ann ']"
0,99,Adv Problems in Computer Science                                ,FALL 208,['Staff ']
0,99,Adv Problems in Computer Science                                ,FALL 208,['Staff ']
0,99,Adv Problems in Computer Science                                ,FALL 208,['Staff ']
67,95,Introduction to Computer Science                                ,FALL 209,"['Dodds, Zachary B. ']"
45,80,Introduction to Computer Science                                ,FALL 209,"['Kuenning, Geoffrey H. ']"
57,95,Introduction to Computer Science                                ,FALL 209,"['Dodds, Zachary B. ']"
41,60,Intro to Computer Science Lab                                ,FALL 209,"['Stone, Christopher ']"
38,60,Intro to Computer Science Lab                                ,FALL 209,"['Stone, Christopher ']"
41,60,Intro to Computer Science Lab                                ,FALL 209,"['Kuenning, Geoffrey H. ']"
48,60,Intro to Computer Science Lab                                ,FALL 209,"['Kuenning, Geoffrey H. ']"
28,30,Intro to Biology & Computer Sci                                ,FALL 209,"['Libeskind-Hadas, Ran ', 'Dodds, Zachary B. ', 'Bush, Eliot C. ', 'Libeskind-Hadas, Ran ', 'Dodds, Zachary B. ', 'Bush, Eliot C. ']"
25,36,Principles & Practice: Comp Sci                                ,FALL 209,"['Keller, Robert M. ']"
25,40,Introduction to Computer Science                                ,FALL 209,"['Lee, Arthur H. ']"
27,24,Intro to Computer Science w/Lab                                ,FALL 209,"['Chen, Tzu-Yi ', 'Kauchak, David R. ']"
26,24,"Lab, Intro to Computer Science                                ",FALL 209,"['Kauchak, David R. ']"
25,30,Fundamentals of Computer Science                                ,FALL 209,"['Bull, Everett L., Jr. ']"
20,18,Principles of Computer Science                                ,FALL 209,"['Alvarado, Christine J. ']"
10,18,Principles of Computer Science                                ,FALL 209,"['Alvarado, Christine J. ']"
5,19,Data Structures &Adv Programming                                ,FALL 209,"['Lee, Arthur H. ']"
16,20,Data Structures/Prgm Development                                ,FALL 209,"[""O'Neill, Melissa E. ""]"
13,17,Data Structures/Prgm Development                                ,FALL 209,"[""O'Neill, Melissa E. ""]"
26,32,Computability & Logic                                ,FALL 209,"['Bull, Everett L., Jr. ']"
0,99,Indep Study: Computer Science                                ,FALL 209,['Staff ']
9,20,Computer Systems                                ,FALL 209,"['Erlinger, Michael A. ', 'Erlinger, Michael A. ']"
20,20,Software Development                                ,FALL 209,"['Sweedyk, Elizabeth Ann ', 'Kampe, Mark A. ']"
6,14,Computer Networks                                ,FALL 209,"['Erlinger, Michael A. ', 'Erlinger, Michael A. ']"
19,20,Programming Languages                                ,FALL 209,"['Stone, Christopher ', 'Stone, Christopher ']"
25,24,Algorithms                                ,FALL 209,"['Chen, Tzu-Yi ']"
31,24,Artificial Intelligence                                ,FALL 209,"['Sood, Sara Owsley ']"
17,18,Computer Graphics                                ,FALL 209,"['Sweedyk, Elizabeth Ann ']"
8,14,Parallel and Real-Time Computing                                ,FALL 209,"['Keller, Robert M. ']"
13,20,Information Retrieval                                ,FALL 209,"['Kauchak, David R. ']"
19,66,Computer Science Clinic I                                ,FALL 209,"['Keller, Robert M. ']"
0,99,Computer Science Research I                                ,FALL 209,['Staff ']
